professor_id,professor_name,university,carnegie,tenure_year,review_id,review_date,review_year,relative_year,overall_rating,clarity_rating,difficulty,would_take_again,review_text,course,is_online,is_for_credit,grade,rating_tags
662021,Suzanne Dietrich,Arizona State University,R1,,UmF0aW5nLTQyMTIyNzg3,2025-12-09 18:30:40 +0000 UTC,2025,,4,4,4,1.0,"Had her for ACO321 which wasn't listed for some reason  She is a tough grader but it isn't for no reason, the material is just difficult and requires a high attention to detail. If I'm being honest, I think a lot of these bad reviews are coming form students who did poorly or did not enjoy the subject matter. Massively overhated.",ACO,False,True,B-,Tough grader--Participation matters--Group projects
662021,Suzanne Dietrich,Arizona State University,R1,,UmF0aW5nLTQxMjA1Nzcx,2025-05-08 02:56:07 +0000 UTC,2025,,1,1,5,,"Outdated lectures that overcomplicate simple topics and fail to teach practical use. Assignments are vague, grading is inconsistent, and her expensive textbook adds no value. Tests are mostly open-ended and memory-based. You're better off learning from YouTube or asking your advisor for a different class.",ACO320,False,True,Not sure yet,
662021,Suzanne Dietrich,Arizona State University,R1,,UmF0aW5nLTQxMjA1NjY5,2025-05-08 02:50:53 +0000 UTC,2025,,1,1,5,,"This professor is quite mediocre and overestimates herself, likely because she wrote a book. Her teaching is outdated, lectures are boring, and the textbook is pricey yet less helpful than free YouTube videos. She tends to overcomplicate simple topics, turning straightforward content into long-winded confusion.",ACO320,False,True,Incomplete,Tough grader
662021,Suzanne Dietrich,Arizona State University,R1,,UmF0aW5nLTQwNzgwMDk2,2025-03-17 18:12:48 +0000 UTC,2025,,1,1,5,,"Dietrich is a grandma, not a professor  Dietrich should retire... She is far too old and behind to be in any professional field.   She gets zero respect in the class, and for good reason...  It is a truly a shame that ASU entertains people like this.  DO NOT take her and if you do, make sure to report her to speed up her long awaited retirement.",ACO320,False,True,Not sure yet,Tough grader--Participation matters--Graded by few things
662021,Suzanne Dietrich,Arizona State University,R1,,UmF0aW5nLTM5MTY1NTgx,2024-04-12 23:54:34 +0000 UTC,2024,,1,1,4,,Dr Dietrich is knowledgeable about databases but the assignments are difficult I had to rely on her own textbook to complete those and even the book doesn't explain stuff clearly. She is rude and condescending to her students and honestly I don't want to ask questions since she point out you are wrong and doesn't do a good job explaining things.,ACO320,False,True,C,Tough grader--Participation matters--Test heavy
662021,Suzanne Dietrich,Arizona State University,R1,,UmF0aW5nLTM4MjAwNjA4,2023-09-02 04:25:42 +0000 UTC,2023,,2,2,5,,"Dr. D is very knowledgeable about databases and programming, no question. However, she gives very tough assignments and has no mercy in grading. She is notorious for scoffing if you ask a question that's ""easily answerable"".  Do NOT take her for 240 if you can. 320 was hard but covered a lot of useful topics. Study for the tests or you will fail.",ACO320,False,True,B,Tough grader--Get ready to read--Participation matters
662021,Suzanne Dietrich,Arizona State University,R1,,UmF0aW5nLTM4MDA5Njc0,2023-05-31 18:52:12 +0000 UTC,2023,,1,1,5,,"3 types of attendance in every class. Vague lectures that show basics, not how to put them into practice. Projects come in multiple parts and each part only has less than half a paragraph of instructions. Tests are primarily open-ended and written so you better have perfect memory. Ask your advisor if you can take a summer class elsewhere.",ACO240,False,True,D+,Tough grader--Test heavy--Graded by few things
662021,Suzanne Dietrich,Arizona State University,R1,,UmF0aW5nLTM3ODQ2OTQ4,2023-05-07 08:26:11 +0000 UTC,2023,,3,3,5,1.0,Hard class.  Lots of work.  Extremely large amount of material to learn in one semester.  She is a good teacher though and is available outside class to help.,ACO240,False,True,C,Tough grader--Get ready to read--Lots of homework
662021,Suzanne Dietrich,Arizona State University,R1,,UmF0aW5nLTM3NjI5MDE3,2023-04-13 20:03:38 +0000 UTC,2023,,1,1,5,,"Dietrich isn't a terrible lecture teacher, but her grading process is literally the worst I've ever seen. She makes the final & midterm %50 of the grade,if you do bad on the midterm just drop the class. The hw coding assignments aren't bad but the final coding assignments are such a jump from what she teaches in class. Take this class elsewhere.",ACO240,False,True,Drop/Withdrawal,Tough grader--Participation matters--Test heavy
662021,Suzanne Dietrich,Arizona State University,R1,,UmF0aW5nLTM3NTg2Mzcx,2023-04-05 19:35:54 +0000 UTC,2023,,1,1,5,,She is condescending and I taken her class for the first time and our first quiz which was focused around python was hard and the quiz was on paper. Our first assignment was difficult she gave vague instructions. Ended up dropping the class a couple weeks after our first quiz. Don't take her class unless if you want to fail and tank your GPA.,ACO240,False,True,D,Tough grader--Get ready to read--Test heavy
662021,Suzanne Dietrich,Arizona State University,R1,,UmF0aW5nLTM3NTg1ODkw,2023-04-05 18:34:26 +0000 UTC,2023,,1,1,5,,"First day of class was 60ish students, 1 week after midterm results, like 17 students which more than half are failing. If you want to learn, she is not the professor you want.",ACO240,False,True,Rather not say,Tough grader--Amazing lectures --Test heavy
662021,Suzanne Dietrich,Arizona State University,R1,,UmF0aW5nLTM3NTg0NTMz,2023-04-05 15:22:49 +0000 UTC,2023,,1,1,4,,"I've never use the ""What-If (My grades are ...)"" section on Canvas until I had to take her class. Absolutely demolished.",ACO240,False,True,Not sure yet,Tough grader--Test heavy
662021,Suzanne Dietrich,Arizona State University,R1,,UmF0aW5nLTM3NTY3NTQ5,2023-04-01 05:19:55 +0000 UTC,2023,,1,1,5,,"DO NOT TAKE THIS CLASS!!!! YES, SHE IS THAT BAD!!! AVOID AT ALL COSTS. Do yourself a favor and run away from this professor. Super Awful lectures you are not going to learn a single thing. This class is highly based on exams, yes they will be taking in class 70% on exams yep that's a lot. Nothing to do with the study guide.",ACO240,False,True,Rather not say,Tough grader--Test heavy--Graded by few things
662021,Suzanne Dietrich,Arizona State University,R1,,UmF0aW5nLTM3NTY3MjA0,2023-04-01 02:33:01 +0000 UTC,2023,,1,1,5,,Dietrich is knowledgeable but does not know how to present it. Examples were minimally useful and class time was wasted. The homework assignments were nonstop and hardly related to the tests and programming assignments. I did not find the study guides useful whatsoever. If you have another option for this class take it or switch to Tempe.,ACO240,False,True,Drop/Withdrawal,Tough grader--Lots of homework
662021,Suzanne Dietrich,Arizona State University,R1,,UmF0aW5nLTM3NTA1OTUx,2023-03-14 23:39:00 +0000 UTC,2023,,1,1,5,,Acts like a know it all and very snobby to those who ask questions. Doesn't really explain concepts in depth as she thinks students would already know the information that we're learning. Extremely tough grader and does not prepare her students for any assignment. Office hours are there so she can belittle you. AVOID AT ALL COSTS!,ACO240,False,True,,Tough grader
662021,Suzanne Dietrich,Arizona State University,R1,,UmF0aW5nLTM3NDQ5NTUx,2023-02-22 09:25:59 +0000 UTC,2023,,3,3,4,,I wrote the last comment and wish I could delete it.  It's closed-minded and non constructive.  I hope no one cares too much about that and more about growth.,ACO320,False,True,Rather not say,Tough grader--Group projects--Clear grading criteria
