professor_id,professor_name,university,carnegie,tenure_year,review_id,review_date,review_year,relative_year,post_tenure,overall_rating,clarity_rating,difficulty,would_take_again_bin,sentiment,review_length,review_text,course,is_online,grade,rating_tags
1981360,Mohamed Sarwat,Arizona State University,R1,2021,UmF0aW5nLTM2NTAyMzU1,2022-07-04 07:23:15 +0000 UTC,2022,1,1,1,1,5,,-0.9162,26,ONE OF THE WORST PROFESSORS THAT I HAVE EVER COME ACROSS HE DOES NOT HELP ANY STUDENT  HE NEVER RESPONDS TO EMAIL WORST GRADING SHAMELESS PROFESSOR,CSE512,False,,Hilarious
1981360,Mohamed Sarwat,Arizona State University,R1,2021,UmF0aW5nLTM2MjMxMDE4,2022-05-03 21:13:30 +0000 UTC,2022,1,1,5,5,2,1.0,0.4063,60,One of my favorite profs. I came in with no knowledge of databases and was able to get caught up with the class rather easy. First lecture that has been worth showing up to since Covid. Homework assignments can be rather tricky but not the end of the world. Midterm and Final didn't contain trick questions and were graded fairly.,CSE512,False,A-,Amazing lectures --Graded by few things
1981360,Mohamed Sarwat,Arizona State University,R1,2021,UmF0aW5nLTM2MjAxMTcy,2022-04-30 18:04:49 +0000 UTC,2022,1,1,5,5,3,1.0,0.9623,57,"Amazing professor. CSE 512 is a light course. If you already have a knowledge of databases, its gonna be easy. Good assignments and good lecture notes. A few tricky coding assignments, but overall managable. Mid-exam was descriptive and final was MCQ. Would recommend if you are looking for a great in-person lecture experience and an easy A",CSE512,False,A,Clear grading criteria--Hilarious--Caring
1981360,Mohamed Sarwat,Arizona State University,R1,2021,UmF0aW5nLTM1NTU5NzYw,2021-12-16 18:41:31 +0000 UTC,2021,0,1,3,3,2,1.0,0.9477,61,"He makes the class pretty easy and clear to understand, but he feels like he's unprepared for most of his lectures. If you ask him a question he'll often misinterpret it or brush it off. Grading is lenient and the homework is interesting, but they're also pretty cookie cutter so you'll only touch the surface level of some of the tech.",CSE512,False,A,Lots of homework--Clear grading criteria
1981360,Mohamed Sarwat,Arizona State University,R1,2021,UmF0aW5nLTM1NDk2MzM2,2021-12-13 16:43:51 +0000 UTC,2021,0,1,5,5,3,1.0,0.9338,64,"Prof very nice and caring, hates cheaters tho. Lectures not that complicated, but a lot to cram for midterm/final via basically rote learning, very doable to do good on the exams. Projects some were really easy, some decently hard with only a week to do, the hard one will suck but its downhill from there. One of the easiest 500's with a great prof!",CSE512,False,B,Graded by few things--Clear grading criteria--Caring
1981360,Mohamed Sarwat,Arizona State University,R1,2021,UmF0aW5nLTM0NzE3MzU2,2021-05-06 00:33:59 +0000 UTC,2021,0,1,3,3,2,0.0,0.9331,60,"He's a really nice guy but just didn't feel like he was prepared. He cares that everyone gets a good grade, but it also feels like you're not learning anything too complicated. The content overlaps a lot with CSE412 (except for the basic SQL part) with some extra information sprinkled in for the distributed part. It's not rigorous at all.",CSE512,False,A,Caring
1981360,Mohamed Sarwat,Arizona State University,R1,2021,UmF0aW5nLTM0NTUzMDI1,2021-04-15 00:00:13 +0000 UTC,2021,0,1,4,4,3,1.0,0.8803,65,I took his class in Spring 2021 during covid when fully online. He tried to really help at the end of the semester to make it less stressful for us. He recorded lectures but did post them a week later and wasn't available out of class much. I learned a lot in this class and thought it was great as an elective. I would recommend!,CSE412,False,A,
1981360,Mohamed Sarwat,Arizona State University,R1,2021,UmF0aW5nLTM0NTAxNDc1,2021-04-02 19:47:01 +0000 UTC,2021,0,1,2,2,3,1.0,-0.3597,61,"He's a nice guy, just disorganized. During Covid he uploaded lectures days after. Students had to keep emailing TAs to clarify vague assignment directions, and shared their responses on Discord. The one time I emailed the professor, my email tracker said he read it 2 hours later, but I never got a response; not sure if that's a norm for him.",CSE412,False,A,Graded by few things--Hilarious
1981360,Mohamed Sarwat,Arizona State University,R1,2021,UmF0aW5nLTMzNzQwMzI0,2020-10-27 19:58:06 +0000 UTC,2020,-1,0,1,1,1,0.0,0.8217,47,"I don't know why this professor is ranked so highly! The class is the easiest I have ever taken. Professor teaches basic things that even an undergrad student will know! Cakewalk, easy to get A, A+. Please don't take it as it is not a graduate-level course.",CSE512,False,A,Hilarious
1981360,Mohamed Sarwat,Arizona State University,R1,2021,UmF0aW5nLTMzMzcwODcz,2020-05-26 07:53:01 +0000 UTC,2020,-1,0,4,4,3,1.0,-0.7355,48,Tries to scare you off with the rules in his first class. You would learn a lot from this class. This professor is an ocean of knowledge. Not the toughest grading but you can lose points if you are not careful with the specific grading criteria and plagiarism.,CSE512,False,A+,Graded by few things--Group projects--Hilarious
